SL_No,STATE,PC_Name ,WINNER_NAME,CATEGORY,SOCIAL_CATEGORY,PARTY,PARTY_SYMBOL,MARGIN,No_Of_Polling_Station,Electors,Avg_No_of_Electors_Per_PS,Nominations,Contestants,Forefeited_Deposits,Voters,Voters_Turn_Out_Percent,Year
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,GEN,GEN,INC,Hand,1407,407,318471,782,19,15,13,207398,65,2024
2,Andhra Pradesh,Aruku ,GODDETI. MADHAVI,ST,ST,YSRCP,Ceiling Fan,224089,2035,1451418,713,13,10,8,1078235,74,2024
3,Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,GEN,GEN,TDP,Bicycle,6653,2031,1553860,765,13,9,7,1164286,75,2024
4,Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,GEN,GEN,YSRCP,Ceiling Fan,48036,1887,1503980,797,17,14,12,1222433,81,2024
5,Andhra Pradesh,Visakhapatnam,M V V SATYANARAYANA,GEN,GEN,YSRCP,Ceiling Fan,4414,1915,1829300,955,24,14,11,1239921,68,2024
6,Andhra Pradesh,Anakapalli,Dr.Beesetti Venkata Satyavathi,GEN,GEN,YSRCP,Ceiling Fan,89192,1799,1521363,846,14,10,8,1240456,82,2024
7,Andhra Pradesh,Kakinada,VANGA GEETHAVISWANATH,GEN,GEN,YSRCP,Ceiling Fan,25738,1623,1563930,964,20,15,13,1236814,79,2024
8,Andhra Pradesh,Amalapuram ,CHINTA ANURADHA,SC,SC,YSRCP,Ceiling Fan,39795,1641,1459556,889,13,10,7,1235368,85,2024
9,Andhra Pradesh,Rajahmundry,MARGANI BHARAT,GEN,GEN,YSRCP,Ceiling Fan,121634,1584,1534256,969,17,11,9,1250488,82,2024
10,Andhra Pradesh,Narsapuram,KANUMURU RAGHU RAMA KRISHNA RAJU,GEN,GEN,YSRCP,Ceiling Fan,32676,1502,1439691,959,20,15,12,1179162,82,2024
11,Andhra Pradesh,Eluru ,KOTAGIRI SRIDHAR,GEN,GEN,YSRCP,Ceiling Fan,165925,1771,1594950,901,14,10,8,1332210,84,2024
12,Andhra Pradesh,Machilipatnam ,BALASHOWRY VALLABHANENI,GEN,GEN,YSRCP,Ceiling Fan,60238,1752,1473347,841,18,12,10,1245552,85,2024
13,Andhra Pradesh,Vijayawada,KESINENI SRINIVAS (NANI),GEN,GEN,TDP,Bicycle,8726,1709,1652994,967,21,15,13,1277775,77,2024
14,Andhra Pradesh,Guntur,Jayadev Galla,GEN,GEN,TDP,Bicycle,4205,1804,1706119,946,27,19,17,1351527,79,2024
15,Andhra Pradesh,Narasaraopet,LAVU SRI KRISHNA DEVARAYALU,GEN,GEN,YSRCP,Ceiling Fan,154002,1915,1670391,872,19,13,11,1440732,86,2024
16,Andhra Pradesh,Bapatla ,NANDIGAM SURESH,SC,SC,YSRCP,Ceiling Fan,16065,1767,1468671,831,16,13,11,1269998,86,2024
17,Andhra Pradesh,Ongole ,MAGUNTA SREENIVASULU REDDY,GEN,GEN,YSRCP,Ceiling Fan,214851,1931,1556469,806,17,13,11,1344003,86,2024
18,Andhra Pradesh,Nandyal,POCHA . BRAHMANANDA REDDY,GEN,GEN,YSRCP,Ceiling Fan,250119,1938,1603220,827,28,20,18,1299785,81,2024
19,Andhra Pradesh,Kurnool,AYUSHMAN DOCTOR SANJEEV KUMAR,GEN,GEN,YSRCP,Ceiling Fan,149067,1843,1573009,854,17,16,14,1190672,76,2024
20,Andhra Pradesh,Anantapur,TALARI RANGAIAH,GEN,GEN,YSRCP,Ceiling Fan,141428,1975,1664160,843,18,14,12,1348114,81,2024
21,Andhra Pradesh,Hindupur,KURUVA GORANTLA MADHAV,GEN,GEN,YSRCP,Ceiling Fan,140748,1909,1578218,827,12,9,7,1340027,85,2024
22,Andhra Pradesh,Kadapa,Y.S.Avinash Reddy,GEN,GEN,YSRCP,Ceiling Fan,380726,1922,1570330,817,24,15,13,1235547,79,2024
23,Andhra Pradesh,Nellore,Adala Prabhakara Reddy,GEN,GEN,YSRCP,Ceiling Fan,148571,1944,1672845,861,21,13,11,1289161,77,2024
24,Andhra Pradesh,Tirupati ,Balli Durga Prasad Rao,SC,SC,YSRCP,Ceiling Fan,228376,1987,1650453,831,17,12,10,1316473,80,2024
25,Andhra Pradesh,Rajampet,P.V.MIDHUN REDDY,GEN,GEN,YSRCP,Ceiling Fan,268284,1892,1546938,818,20,9,7,1226152,79,2024
26,Andhra Pradesh,Chittoor ,N. REDDEPPA,SC,SC,YSRCP,Ceiling Fan,137271,1883,1566499,832,10,8,6,1319635,84,2024
27,Arunachal Pradesh,ARUNACHAL WEST,KIREN RIJIJU,GEN,GEN,BJP,Lotus,174843,1297,463775,358,7,7,6,364047,79,2024
28,Arunachal Pradesh,ARUNACHAL EAST,Tapir Gao,GEN,GEN,BJP,Lotus,69948,905,339788,375,5,5,3,295719,87,2024
29,Assam,Kokrajhar,Naba Kumar Sarania,ST,ST,IND,Battery Torch,37786,2347,1776358,757,12,9,6,1479744,83,2024
30,Assam,Barpeta,Abdul Khaleque,GEN,GEN,INC,Hand,140307,2188,1685149,770,14,13,10,1458808,87,2024
31,Assam,Gauhati,QUEEN OJA,GEN,GEN,BJP,Lotus,345606,2592,2181319,842,19,17,15,1763950,81,2024
32,Assam,Mangaldoi,DILIP SAIKIA,GEN,GEN,BJP,Lotus,138545,2353,1800237,765,13,11,9,1506419,84,2024
33,Assam,Tezpur,PALLAB LOCHAN DAS,GEN,GEN,BJP,Lotus,242841,1880,1499639,798,10,7,5,1191885,79,2024
34,Assam,Nowgong,Pradyut Bordoloi,GEN,GEN,INC,Hand,16752,2283,1794648,786,8,7,5,1493624,83,2024
35,Assam,Kaliabor,Gaurav Gogoi,GEN,GEN,INC,Hand,209994,2174,1734938,798,7,7,5,1424795,82,2024
36,Assam,Jorhat,TOPON KUMAR GOGOI,GEN,GEN,BJP,Lotus,82653,1753,1365035,779,8,8,6,1058820,78,2024
37,Assam,Dibrugarh,RAMESWAR TELI,GEN,GEN,BJP,Lotus,364566,1657,1314319,793,8,8,6,1015992,77,2024
38,Assam,Lakhimpur,PRADAN BARUAH,GEN,GEN,BJP,Lotus,350551,2110,1708013,809,12,11,9,1283950,75,2024
39,Assam,Karimganj ,KRIPANATH MALLAH,SC,SC,BJP,Lotus,38389,1721,1340173,779,19,14,12,1061160,79,2024
40,Assam,Silchar,RAJDEEP ROY,GEN,GEN,BJP,Lotus,81596,1461,1195720,818,14,13,11,950690,80,2024
41,Assam,Autonomous District,HOREN SING BEY,ST,ST,BJP,Lotus,239626,1174,795945,678,6,5,3,617858,78,2024
42,Assam,Dhubri,BADRUDDIN AJMAL,GEN,GEN,AIUDF,Lock and Key,226258,2450,1858566,759,17,15,12,1685058,91,2024
43,Bihar,Samastipur (SC),Ramchandra Paswan,SC,SC,LJP,Bungalow,251643,1700,1679030,988,17,11,9,1019771,61,2024
44,Bihar,Begusarai,Giriraj Singh,GEN,GEN,BJP,Lotus,422217,1944,1958382,1007,21,10,8,1226503,63,2024
45,Bihar,Khagaria,Choudhary Mehboob Ali Kaiser,GEN,GEN,LJP,Bungalow,248570,1714,1676454,978,26,20,18,967411,58,2024
46,Bihar,Bhagalpur,AJAY KUMAR MANDAL,GEN,GEN,JD(U),Arrow,277630,1777,1823820,1026,16,9,7,1043182,57,2024
47,Bihar,Banka,GIRIDHARI YADAV,GEN,GEN,JD(U),Arrow,200532,1816,1699394,936,23,20,18,995860,59,2024
48,Bihar,Munger,RAJIV RANJAN SINGH ALIAS LALAN SINGH,GEN,GEN,JD(U),Arrow,167937,1926,1888025,980,21,19,17,1036441,55,2024
49,Bihar,Nalanda,Kaushlendra Kumar,GEN,GEN,JD(U),Arrow,256137,2248,2114809,941,36,35,33,1031874,49,2024
50,Bihar,Patna Sahib,RAVI SHANKAR PRASAD,GEN,GEN,BJP,Lotus,284657,2007,2146008,1069,37,18,16,982939,46,2024
51,Bihar,Pataliputra,RAM KRIPAL YADAV,GEN,GEN,BJP,Lotus,39321,2050,1925479,939,33,25,23,1078809,56,2024
52,Bihar,Arrah,R. K. Singh,GEN,GEN,BJP,Lotus,147285,2162,2089353,966,24,11,9,1082464,52,2024
53,Bihar,Valmiki Nagar,BAIDYANATH PRASAD MAHTO,GEN,GEN,JD(U),Arrow,354616,1701,1665502,979,17,13,11,1032231,62,2024
54,Bihar,Buxar,Ashwini Kumar Choubey,GEN,GEN,BJP,Lotus,117609,1856,1829373,986,16,15,13,986962,54,2024
55,Bihar,Paschim Champaran,DR. SANJAY JAISWAL,GEN,GEN,BJP,Lotus,293906,1647,1633824,992,18,9,7,1013373,62,2024
56,Bihar,Sasaram (SC),CHHEDI PASWAN,SC,SC,BJP,Lotus,165745,1927,1787878,928,15,13,11,975577,55,2024
57,Bihar,Purvi Champaran,RADHA MOHAN SINGH,GEN,GEN,BJP,Lotus,293648,1611,1658672,1030,25,22,20,1000135,60,2024
58,Bihar,Karakat,MAHABALI SINGH,GEN,GEN,JD(U),Arrow,84542,1869,1771254,948,37,27,25,869546,49,2024
59,Bihar,Jahanabad,CHANDESHWAR PRASAD,GEN,GEN,JD(U),Arrow,1751,1692,1588454,939,29,13,11,822233,52,2024
60,Bihar,Sheohar,RAMA DEVI,GEN,GEN,BJP,Lotus,340360,1670,1686215,1010,26,18,16,1004927,60,2024
61,Bihar,Aurangabad,SUSHIL KUMAR SINGH,GEN,GEN,BJP,Lotus,70552,2021,1886284,933,42,23,20,1198727,64,2024
62,Bihar,Sitamarhi,Sunil Kumar Pintu,GEN,GEN,JD(U),Arrow,250539,1776,1752454,987,24,20,18,1039600,59,2024
63,Bihar,Madhubani,ASHOK KUMAR YADAV,GEN,GEN,BJP,Lotus,454940,1837,1792798,976,22,17,16,964706,54,2024
64,Bihar,Gaya (SC),Vijay Kumar,SC,SC,JD(U),Arrow,152426,1772,1704596,962,14,13,11,957654,56,2024
65,Bihar,Jhanjharpur,Ramprit Mandal,GEN,GEN,JD(U),Arrow,322951,1929,1852417,960,20,17,15,1062391,57,2024
66,Bihar,Nawada,Chandan Singh,GEN,GEN,LJP,Bungalow,148072,1899,1899747,1000,18,13,11,944691,50,2024
67,Bihar,Supaul,Dileshwar Kamait,GEN,GEN,JD(U),Arrow,266853,1770,1690620,955,24,20,18,1110996,66,2024
68,Bihar,Jamui (SC),CHIRAG KUMAR PASWAN,SC,SC,LJP,Bungalow,241049,1850,1718814,929,12,9,7,949561,55,2024
69,Bihar,Araria,PRADEEP KUMAR SINGH,GEN,GEN,BJP,Lotus,137241,1723,1805439,1048,28,12,10,1169741,65,2024
70,Bihar,Kishanganj,Dr. Mohammad Jawed,GEN,GEN,INC,Hand,34466,1626,1659651,1021,16,14,11,1101656,66,2024
71,Bihar,Katihar,DULAL CHANDRA GOSWAMI,GEN,GEN,JD(U),Arrow,57203,1667,1653353,992,17,9,7,1118289,68,2024
72,Bihar,Purnia,SANTOSH KUMAR,GEN,GEN,JD(U),Arrow,263461,1758,1765312,1004,17,16,14,1153989,65,2024
73,Bihar,Madhepura,Dinesh Chandra Yadav,GEN,GEN,JD(U),Arrow,301527,1940,1884883,972,18,13,11,1147652,61,2024
74,Bihar,Darbhanga,Gopal Jee Thakur,GEN,GEN,BJP,Lotus,267979,1664,1654811,994,17,8,6,965510,58,2024
75,Bihar,Muzaffarpur,Ajay Nishad,GEN,GEN,BJP,Lotus,409988,1748,1730553,990,37,22,20,1058507,61,2024
76,Bihar,Vaishali,Veena Devi (W/o Dinesh Prasad Singh),GEN,GEN,LJP,Bungalow,234584,1803,1735983,963,36,22,20,1074751,62,2024
77,Bihar,Gopalganj (SC),DR. ALOK KUMAR SUMAN,SC,SC,JD(U),Arrow,286434,1906,1839514,965,17,13,11,1026056,56,2024
78,Bihar,Siwan,Kavita Singh,GEN,GEN,JD(U),Arrow,116958,1787,1799551,1007,24,19,17,984850,55,2024
79,Bihar,Maharajganj,"Janardan Singh 'Sigriwal""",GEN,GEN,BJP,Lotus,230772,2067,1915408,927,21,14,12,1227224,64,2024
80,Bihar,Saran,Rajiv Pratap Rudy,GEN,GEN,BJP,Lotus,138411,1711,1667253,974,15,12,10,943615,57,2024
81,Bihar,Hajipur (SC),PASHU PATI KUMAR PARAS,SC,SC,LJP,Bungalow,205449,1827,1823664,998,27,11,9,1007680,55,2024
82,Bihar,Ujiarpur,Nityanand Rai,GEN,GEN,BJP,Lotus,277278,1600,1612300,1008,30,18,16,969862,60,2024
83,Chandigarh,CHANDIGARH,KIRRON KHER,GEN,GEN,BJP,Lotus,46970,597,646729,1083,45,36,34,456637,71,2024
84,Chhattisgarh,SARGUJA,Renuka Singh Saruta,ST,ST,BJP,Lotus,157873,2153,1655239,769,11,10,8,1281216,77,2024
